zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta
267,2025-11-17,2025-11-17T07:41:29+0100,,OF,2025-11-17T08:21:15+0100,,XHHE,
446,2025-11-17,2025-11-17T22:44:30+0100,,WBF,2025-11-18T08:27:18+0100,,LATH1,
447,2025-11-17,2025-11-17T21:41:37+0100,,WO S12,2025-11-18T06:58:00+0100,,WBF,
463,2025-11-17,2025-11-17T03:56:03+0100,,HW Z3,2025-11-17T07:21:17+0100,,XHHE,
467,2025-11-17,2025-11-17T23:05:00+0100,,BC,2025-11-18T07:56:10+0100,,MLX,
525,2025-11-17,2025-11-17T06:10:43+0100,,WEK,2025-11-17T07:50:12+0100,,MLX,
566,2025-11-17,2025-11-17T13:04:08+0100,,KLSS22,2025-11-17T13:17:30+0100,,WBF,
766,2025-11-17,2025-11-17T11:04:08+0100,,KLSS22,2025-11-17T15:42:24+0100,,H  H3,
767,2025-11-17,2025-11-17T12:17:40+0100,,H  H3,2025-11-17T16:55:36+0100,,KLSS21,
1295,2025-11-17,2025-11-17T22:52:00+0100,,MFL,2025-11-17T22:57:33+0100,,SBJ,
1563,2025-11-17,2025-11-17T06:30:22+0100,,OF,2025-11-17T06:51:10+0100,,GN S11,
1566,2025-11-17,2025-11-17T07:10:27+0100,,GN S12,2025-11-17T07:30:12+0100,,OF,
1762,2025-11-17,2025-11-17T16:37:56+0100,,GZS,2025-11-17T17:33:00+0100,,FB H1,
2358,2025-11-17,2025-11-17T18:40:18+0100,,NBN,2025-11-17T19:47:53+0100,,NW H3,
2871,2025-11-17,2025-11-17T21:53:40+0100,,KRV,2025-11-17T22:56:30+0100,,WF H1,
7683,2025-11-17,2025-11-17T05:20:00+0100,,WUL,2025-11-17T06:06:12+0100,,MLX,
7693,2025-11-17,2025-11-17T19:31:34+0100,,HKAG,2025-11-17T19:35:00+0100,,ASO,
7841,2025-11-17,2025-11-17T04:56:18+0100,,WULH1H,2025-11-17T04:57:38+0100,,WULG,
7910,2025-11-17,2025-11-17T06:21:30+0100,,PAM,2025-11-17T06:56:30+0100,,NS,
20548,2025-11-17,2025-11-17T08:30:24+0100,,WV,2025-11-17T08:55:29+0100,,HFG,
20555,2025-11-17,2025-11-17T09:01:30+0100,,HFG,2025-11-17T09:25:44+0100,,WV,
20562,2025-11-17,2025-11-17T09:40:24+0100,,WV,2025-11-17T10:05:29+0100,,HFG,
20682,2025-11-17,2025-11-17T19:40:24+0100,,WV,2025-11-17T20:05:29+0100,,HFG,
21015,2025-11-17,2025-11-17T06:15:00+0100,,VN H1,2025-11-17T08:15:40+0100,,WF H1,
22742,2025-11-17,2025-11-17T18:25:06+0100,,LGF,2025-11-17T19:13:46+0100,,F  S21,
23364,2025-11-17,2025-11-17T09:08:01+0100,,MAT,2025-11-17T09:59:17+0100,,STRS21,
23484,2025-11-17,2025-11-17T12:08:01+0100,,MAT,2025-11-17T12:59:17+0100,,STRS21,
23784,2025-11-17,2025-11-17T19:38:01+0100,,MAT,2025-11-17T20:39:26+0100,,ON,
23922,2025-11-17,2025-11-17T22:55:06+0100,,LGF,2025-11-17T23:59:17+0100,,STRS21,
24618,2025-11-17,2025-11-17T15:20:53+0100,,KLSS22,2025-11-17T17:01:00+0100,,ENZH1,
24698,2025-11-17,2025-11-17T17:20:50+0100,,KLSS22,2025-11-17T19:01:00+0100,,ENZH1,
