zugnummer,betriebstag,abfahrtzeit_soll,abfahrtzeit_ist,start_betriebsstelle,ankunftzeit_soll,ankunftzeit_ist,ziel_betriebsstelle,fahrzeit_delta,abfahrt_verspaetung_min,ankunft_verspaetung_min
27,2025-12-15,2025-12-15T16:23:00+0100,2025-12-15T17:10:48+0100,PAG,2025-12-15T18:44:39+0100,2025-12-15T19:46:01+0100,MLX,00:13:34,47.8,61.36666666666667
131,2025-12-15,2025-12-15T06:55:00+0100,2025-12-15T08:00:03+0100,MLX,2025-12-15T11:11:53+0100,2025-12-15T12:17:59+0100,TBV,00:01:03,65.05,66.1
143,2025-12-15,2025-12-15T10:01:42+0100,2025-12-15T11:08:47+0100,OW,2025-12-15T11:25:00+0100,2025-12-15T12:13:20+0100,HE,-00:18:45,67.08333333333333,48.333333333333336
229,2025-12-15,2025-12-15T20:23:00+0100,2025-12-15T21:29:34+0100,PAG,2025-12-15T22:44:39+0100,2025-12-15T23:55:19+0100,MLX,00:04:06,66.56666666666666,70.66666666666667
346,2025-12-15,2025-12-15T08:02:30+0100,2025-12-15T09:56:50+0100,HE,2025-12-15T09:28:21+0100,2025-12-15T11:00:14+0100,OW,-00:22:27,114.33333333333333,91.88333333333334
457,2025-12-15,2025-12-15T03:50:30+0100,2025-12-15T05:19:00+0100,BPA,2025-12-15T09:46:14+0100,2025-12-15T10:05:21+0100,GMI,-01:09:23,88.5,19.116666666666667
462,2025-12-15,2025-12-15T22:32:30+0100,2025-12-15T23:59:00+0100,HE,2025-12-16T02:04:28+0100,2025-12-16T03:04:01+0100,HW Z3,-00:26:57,86.5,59.55
466,2025-12-15,2025-12-15T21:41:00+0100,2025-12-15T21:53:28+0100,MLX,2025-12-16T06:56:00+0100,2025-12-16T08:34:02+0100,BC,01:25:34,12.466666666666667,98.03333333333333
1295,2025-12-15,2025-12-15T23:54:54+0100,2025-12-16T01:00:57+0100,LFG,2025-12-15T23:57:40+0100,2025-12-16T01:03:00+0100,SBJ,-00:00:43,66.05,65.33333333333333
1615,2025-12-15,2025-12-15T08:07:57+0100,2025-12-15T09:10:49+0100,WATS96,2025-12-15T09:05:47+0100,2025-12-15T10:14:42+0100,OW,00:06:03,62.86666666666667,68.91666666666667
31610,2025-12-15,2025-12-15T07:15:30+0100,2025-12-15T08:17:30+0100,PM H1,2025-12-15T07:52:21+0100,2025-12-15T08:51:12+0100,WATS95,-00:03:09,62.0,58.85
25,2025-12-16,2025-12-16T14:24:07+0100,2025-12-16T15:27:57+0100,PAG,2025-12-16T16:59:04+0100,2025-12-16T18:43:38+0100,MLX,00:40:44,63.833333333333336,104.56666666666666
27,2025-12-16,2025-12-16T16:23:00+0100,2025-12-16T17:43:46+0100,PAG,2025-12-16T18:44:39+0100,2025-12-16T20:07:09+0100,MLX,00:01:44,80.76666666666667,82.5
164,2025-12-16,2025-12-16T09:50:00+0100,2025-12-16T09:57:56+0100,GMI,2025-12-16T18:00:00+0100,2025-12-16T19:03:56+0100,BC,00:56:00,7.933333333333334,63.93333333333333
3663,2025-12-16,2025-12-16T15:51:00+0100,2025-12-16T17:01:46+0100,LZ,2025-12-16T15:51:00+0100,2025-12-16T17:01:46+0100,LZ,00:00:00,70.76666666666667,70.76666666666667
3664,2025-12-16,2025-12-16T17:47:30+0100,2025-12-16T18:34:13+0100,STB,2025-12-16T18:05:12+0100,2025-12-16T19:06:38+0100,SV A1,00:14:43,46.71666666666667,61.43333333333333
7963,2025-12-16,2025-12-16T20:04:10+0100,2025-12-16T22:13:11+0100,NS G,2025-12-16T20:41:51+0100,2025-12-16T22:49:41+0100,PAMG,-00:01:11,129.01666666666668,127.83333333333333
25,2025-12-17,2025-12-17T14:24:07+0100,2025-12-17T15:24:26+0100,PAG,2025-12-17T16:44:39+0100,2025-12-17T17:46:52+0100,MLX,00:01:54,60.31666666666667,62.21666666666667
26,2025-12-17,2025-12-17T11:15:00+0100,2025-12-17T12:23:11+0100,MLX,,2025-12-17T14:41:16+0100,PAG,,68.18333333333334,0.0
27,2025-12-17,2025-12-17T16:23:00+0100,2025-12-17T18:01:34+0100,PAG,2025-12-17T18:44:39+0100,2025-12-17T20:21:10+0100,MLX,-00:02:03,98.56666666666666,96.51666666666667
101,2025-12-17,2025-12-17T08:38:00+0100,2025-12-17T09:44:30+0100,BPA,2025-12-17T10:28:21+0100,2025-12-17T11:34:44+0100,OW,-00:00:07,66.5,66.38333333333334
203,2025-12-17,2025-12-17T10:38:00+0100,2025-12-17T12:31:00+0100,BPA,2025-12-17T12:12:07+0100,2025-12-17T14:09:26+0100,MLX,00:04:19,113.0,117.31666666666666
229,2025-12-17,2025-12-17T20:23:00+0100,2025-12-17T21:40:28+0100,PAG,2025-12-17T22:44:39+0100,2025-12-18T00:07:00+0100,MLX,00:04:53,77.46666666666667,82.35
236,2025-12-17,2025-12-17T00:05:00+0100,2025-12-17T01:09:17+0100,TBV,2025-12-17T04:03:00+0100,2025-12-17T04:11:50+0100,MFL,-00:55:27,64.28333333333333,8.833333333333334
295,2025-12-17,2025-12-17T21:45:30+0100,2025-12-17T21:43:38+0100,MFL,2025-12-18T01:20:17+0100,2025-12-18T03:01:13+0100,TH G,01:42:48,0.0,100.93333333333334
324,2025-12-17,2025-12-17T15:02:30+0100,2025-12-17T15:03:15+0100,WF H1,2025-12-17T17:15:00+0100,2025-12-17T18:18:38+0100,CV,01:02:53,0.75,63.63333333333333
457,2025-12-17,2025-12-17T03:50:30+0100,2025-12-17T04:59:30+0100,BPA,2025-12-17T09:46:14+0100,2025-12-17T09:46:13+0100,GMI,-01:09:01,69.0,0.0
