weekday,departure_hour,mean_delay,median_delay,number_of_trips
Friday,0.0,1.1446287519747236,-0.23333333333333334,211
Friday,1.0,1.570074074074074,0.03333333333333333,225
Friday,2.0,1.4182376689485696,0.23333333333333334,1899
Friday,3.0,1.463994146642021,0.3333333333333333,6492
Friday,4.0,1.9309326936164422,0.5,9796
Friday,5.0,2.268178217821782,0.7166666666666667,10100
Friday,6.0,2.41486626746507,0.6,8350
Friday,7.0,2.3131284666308822,0.5,7452
Friday,8.0,2.113924545663676,0.45,7245
Friday,9.0,2.07496334137458,0.5,7047
Friday,10.0,2.191045286632918,0.5666666666666667,7309
Friday,11.0,2.546430880641407,0.7333333333333333,7733
Friday,12.0,2.5651272157241043,0.8166666666666667,8293
Friday,13.0,2.3822143627862364,0.7333333333333333,8341
Friday,14.0,2.4819749746364557,0.7166666666666667,8871
Friday,15.0,2.6476019705861047,0.8333333333333334,9202
Friday,16.0,2.453096404298136,0.7666666666666667,8779
Friday,17.0,2.3663200356766403,0.7166666666666667,8222
Friday,18.0,2.304369060190074,0.6,7576
Friday,19.0,2.248739454581126,0.45,6796
Friday,20.0,1.7704521380386908,0.3333333333333333,5979
Friday,21.0,1.5648202443280976,0.21666666666666667,4775
Friday,22.0,1.3322975517890772,0.13333333333333333,3186
Friday,23.0,1.528808911739503,0.05,1945
Monday,0.0,3.910176282051282,-0.2833333333333333,208
Monday,1.0,3.5005772005772005,0.2,231
Monday,2.0,1.6964563449982326,0.3,1886
Monday,3.0,1.5033364178490642,0.36666666666666664,6484
Monday,4.0,1.8809460518692702,0.55,9781
Monday,5.0,2.2906487095384818,0.7666666666666667,10061
Monday,6.0,2.407456875898419,0.7166666666666667,8348
Monday,7.0,2.081601994071679,0.5166666666666667,7422
Monday,8.0,1.9227771628850767,0.4166666666666667,7228
Monday,9.0,1.7700668183110606,0.4166666666666667,7034
Monday,10.0,1.714423564091935,0.38333333333333336,7237
Monday,11.0,1.8354275513758271,0.5,7656
Monday,12.0,1.7950898350972189,0.5666666666666667,8126
Monday,13.0,1.9613241841277622,0.5833333333333334,8161
Monday,14.0,2.300110148890915,0.75,8776
Monday,15.0,2.5583351536333185,0.9166666666666666,9156
Monday,16.0,2.213203119085472,0.7666666666666667,8806
Monday,17.0,2.2696283178635404,0.6333333333333333,8188
Monday,18.0,2.156003643958583,0.45,7501
Monday,19.0,1.9279114983264423,0.38333333333333336,6772
Monday,20.0,1.6805054759898903,0.23333333333333334,5935
Monday,21.0,1.3904171161452714,0.16666666666666666,4635
Monday,22.0,1.603819926028664,0.13333333333333333,2884
Monday,23.0,1.9330590875093492,0.05,1337
Saturday,0.0,0.4492544731610338,0.0,1006
Saturday,1.0,0.5714256535947713,0.05,816
Saturday,2.0,1.0506939780613387,0.06666666666666667,1489
Saturday,3.0,0.8690337224383917,0.08333333333333333,4112
Saturday,4.0,1.0193561770879094,0.1,6829
Saturday,5.0,1.1141483942414177,0.13333333333333333,7525
Saturday,6.0,1.3813884926295767,0.18333333333333332,7010
Saturday,7.0,1.5000975772288065,0.21666666666666667,7003
Saturday,8.0,1.3866588073484625,0.23333333333333334,6786
Saturday,9.0,1.5657411542851472,0.25,6717
Saturday,10.0,1.3910643015521063,0.2,6765
Saturday,11.0,1.4502205558006176,0.21666666666666667,6801
Saturday,12.0,1.3823500635945603,0.24166666666666667,6814
Saturday,13.0,1.4156046591298388,0.26666666666666666,6811
Saturday,14.0,1.6085337341349366,0.26666666666666666,6986
Saturday,15.0,1.6593426900584796,0.3,7125
Saturday,16.0,1.5249635462233888,0.31666666666666665,6858
Saturday,17.0,1.5307574206755374,0.3,6839
Saturday,18.0,1.3742364680979742,0.25,6614
Saturday,19.0,1.434721329046088,0.21666666666666667,6220
Saturday,20.0,1.1749377667140826,0.11666666666666667,5624
Saturday,21.0,1.033971600688468,0.08333333333333333,4648
Saturday,22.0,0.9766677171971846,0.06666666666666667,3173
Saturday,23.0,1.0202338586680224,0.016666666666666666,1967
Sunday,0.0,0.5531738118976405,0.0,1003
Sunday,1.0,1.054767776407727,0.11666666666666667,811
Sunday,2.0,1.2882968369829684,0.0,1370
Sunday,3.0,0.8032985634550278,0.0,3643
Sunday,4.0,0.9672067131937521,0.06666666666666667,6018
Sunday,5.0,1.0267612960761,0.06666666666666667,6728
Sunday,6.0,1.0839827156877107,0.11666666666666667,6827
Sunday,7.0,1.2879587324981576,0.11666666666666667,6785
Sunday,8.0,1.0759731174736422,0.1,6671
Sunday,9.0,1.2333181126331811,0.13333333333333333,6570
Sunday,10.0,1.0883638288220172,0.11666666666666667,6613
Sunday,11.0,1.4147748427672955,0.13333333333333333,6625
Sunday,12.0,1.3813204146011717,0.16666666666666666,6657
Sunday,13.0,1.6685759685230026,0.23333333333333334,6608
Sunday,14.0,1.6545693768137326,0.23333333333333334,6777
Sunday,15.0,1.8021384928716904,0.3,6874
Sunday,16.0,1.5537718127440803,0.25,6743
Sunday,17.0,1.7664420085913197,0.3,6751
Sunday,18.0,1.4452883793432898,0.25,6629
Sunday,19.0,1.296676370693838,0.21666666666666667,6183
Sunday,20.0,1.3203527653213751,0.1,5575
Sunday,21.0,1.218527289129454,0.06666666666666667,4434
Sunday,22.0,1.1510649627263045,0.016666666666666666,2817
Sunday,23.0,1.4402344694222866,-0.03333333333333333,1379
Thursday,0.0,2.5853855721393035,-0.10833333333333334,268
Thursday,1.0,2.0113184079601987,0.05,268
Thursday,2.0,1.5736703528172722,0.26666666666666666,1899
Thursday,3.0,1.5566420760738764,0.35,6371
Thursday,4.0,1.9545670838936589,0.6,9667
Thursday,5.0,2.369473138769097,0.7833333333333333,9971
Thursday,6.0,2.625828928399808,0.8666666666666667,8324
Thursday,7.0,2.404492714516999,0.6,7412
Thursday,8.0,2.1008071977056155,0.5083333333333333,7206
Thursday,9.0,1.8725690476190477,0.4166666666666667,7000
Thursday,10.0,1.8182794953556078,0.4166666666666667,7213
Thursday,11.0,2.0868730596003324,0.5166666666666667,7623
Thursday,12.0,2.0837166418034148,0.6166666666666667,8044
Thursday,13.0,2.125623666502544,0.6333333333333333,8124
