start_betriebsstelle,ziel_betriebsstelle,mean_delay,median_delay,number_of_trips
AA,GD H1,17.658333333333335,17.658333333333335,2
AA,HKAG,0.21666666666666667,0.21666666666666667,1
AA,VBO,79.5,79.5,1
ABFA1,SC,2.7,2.7,1
ABFH1,TL,1.6944444444444444,0.4666666666666667,3
ABZ,HFG,2.1166666666666667,0.95,9
ABZ,STC,14.775,14.775,2
AG H1,NBN,8.5,8.5,1
AH,AH,-30.0,-30.0,3
AH,KCH,2.673076923076923,1.375,26
AH,WF H1,0.4452595936794582,-0.3,443
AHO,BF S21,9.916666666666666,5.55,3
AHO,BSE,5.079444444444444,0.06666666666666667,30
AHO,BU,1.0578686493184635,0.13333333333333333,1076
AHO,BUN,10.783333333333333,10.783333333333333,1
AHO,BVSH1,3.298949864498645,1.8583333333333334,492
AHO,CAT,6.7125,3.7416666666666663,4
AHO,F  H3S,11.416666666666666,11.416666666666666,1
AHO,FLD,0.3125,0.24999999999999997,4
AHO,HUI,0.2998341625207297,-0.26666666666666666,201
AHO,HZ,0.9333333333333333,0.9333333333333333,1
AHO,J,16.233333333333334,16.233333333333334,1
AHO,KO U1,1.3,1.3,1
AHO,LB H1,6.2,6.2,1
AHO,LG,0.11666666666666667,0.11666666666666667,1
AHO,LGF,9.8265625,9.108333333333334,32
AHO,MAT,7.6499999999999995,4.25,3
AHO,MD,0.9166666666666666,0.9166666666666666,1
AHO,NBN,5.349339933993399,3.4166666666666665,505
AHO,NG,4.0,4.0,1
AHO,WBFS11,6.4875,8.333333333333332,8
AHO,WBFS21,8.8,8.8,1
AHS,NF,39.38333333333333,39.38333333333333,1
AHS,TFN,4.3,4.3,1
AHS,WF H1,2.465686274509804,1.6166666666666667,51
AJ H1,HP U1,32.18333333333333,32.18333333333333,1
AJ H5,SB G,1.3268115942028984,-0.8333333333333334,23
AJ H5,SBM,43.175,43.175,2
AJ H5,SR H1,12.333333333333334,12.333333333333334,1
AK H1,AU,52.55,52.55,1
AK H1,AU H1,0.0616360454943132,-0.3,381
AK H1,FU,4.330952380952381,3.3333333333333335,119
AK H1,GJ,0.2204761904761905,-0.3333333333333333,35
AK H1,IL A1,-0.22474747474747478,-1.1333333333333333,99
AK H1,LN,2.239949494949495,0.6666666666666666,660
AK H1,LN A1,0.6,0.6,1
AK H1,MIB,-0.3502583979328165,-1.05,129
AK H1,OA H1,2.2004611330698287,1.3333333333333333,506
AK H1,RG,11.733333333333333,-0.4,5
AK H1,RG H1K,2.081119311193112,0.08333333333333333,271
AK H1,STG,0.4179755671902268,0.0,191
AMOH2,B  G,0.3,0.3,1
AMS,AMS,6.942857142857141,-12.166666666666666,7
AMS,SPWS97,1.8666666666666667,1.8666666666666667,1
AMSS11,KUES21,2.6697478991596637,2.25,119
AMSS11,SPWS51,0.9166666666666666,0.9166666666666666,1
AMSZ1,AMSZ1,0.8,0.8,1
AMSZ1,HK H3,1.5522033158813264,0.8333333333333334,1528
AMSZ1,KG S11,1.7599567099567102,0.7666666666666667,77
AMSZ1,KUES21,2.2263157894736842,1.6,285
AMSZ1,LV,14.716666666666667,14.716666666666667,1
AMSZ1,SP W1,0.1,0.1,1
AMSZ1,SPWS51,1.25,1.25,1
AMSZ1,SPWS97,1.2416202598780164,0.5666666666666667,3771
AMSZ1,SPWU95,1.45,1.45,1
AMSZ1,WEY,1.7451351351351352,1.2083333333333333,740
AMSZ1,WEYH1,0.8333333333333334,0.8333333333333334,1
AMSZ1,WEYZ1,1.9132242990654207,0.5333333333333333,1070
AMSZ1,WH,2.6619047619047618,1.95,14
AO S11,BG H1,-3.216666666666667,-3.216666666666667,1
AO S11,ND,31.55,31.55,1
AOS,HF S12,41.160000000000004,48.13333333333333,5
